Orgnummer; Name; Phone; Form; Bundet; BindningsTid
"FASTIGHET & STÄLLNING I VÄST, AB";"5567634497";" 0733336698";"Jobbmobil Multi 120 GB MFA";"Ja";"20220124"
"FASTIGHET & STÄLLNING I VÄST, AB";"5567634497";" 0739600780";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"FASTIGHET & STÄLLNING I VÄST, AB";"5567634497";" 0733337847";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"FASTIGHET & STÄLLNING I VÄST, AB";"5567634497";" 0733336602";"Jobbmobil Multi 120 GB MFA";"Nej";" "
"GLEWI BYGG&FASTIGHETS, AB";"5563312957";" 0705177970";"Jobbmobil Multi 10 GB MFA";"Ja";"20211121"
"BERGSTADEN, AB";"5562624477";" 0702128063";"Telia Jobbmobil Multi 10 GB";"Nej";" "
"BERGSTADEN, AB";"5562624477";" 0705688412";"Jobbmobil Basic";"Nej";" "
"BYSKE KARAMELLFABRIK, AB";"5566924766";" 0738129750";"Jobbmobil Multi 60 GB MFA";"Nej";" "
"FORSBERGS TRAKTOR, AB";"5563117646";" 0703425644";"Jobbmobil Multi 10 GB MFAOsub";"Ja";"20220527"
"FORSBERGS TRAKTOR, AB";"5563117646";" 0707491585";"Jobbmobil Multi 30 GB MFA";"Ja";"20210124"
"GUS BYGG & ENTREPRENAD, AB";"5564913266";" 0705173585";"Jobbmobil Bas";"Nej";" "
"GUS BYGG & ENTREPRENAD, AB";"5564913266";" 0705173585";"Jobbmobil Bas";"Nej";" "
"KONTRAST STOCKHOLM BEAUTY, MAKEUP & STYL";"5566832860";" 0705406300";"Jobbmobil Multi 120 GB MFA";"Ja";"20210506"
"LM SJÖLUND, AB";"5567758940";" 0722404030";"Jobbmobil Obegränsad";"Ja";"20220415"
"MIA BLOMGREN, AB";"5590373329";" 0738062095";"Jobbmobil 1 GB";"Ja";"20220903"
"MIA BLOMGREN, AB";"5590373329";" 0738062151";"Jobbmobil 1 GB";"Ja";"20220903"
"NORDCIRKEL DESIGN, AB";"5591834246";" 0705581521";"Jobbmobil 25 GB";"Ja";"20210716"
