OrgNumber; PhoneNumber; Operator 
"5568733579"; "070-767 34 49"; "Tele2 Sverige AB"
"5568733579"; "070-473 57 07"; "Tele2 Sverige AB"
"5590568860"; "08-659 84 71"; "Com Hem AB"
"5567634497"; "0320-131 37"; "Telia Sverige AB"
"5567634497"; "0301-407 09"; "Telia Sverige AB"
"5567634497"; "073-333 66 98"; "TeliaSonera AB"
"5567634497"; "073-960 07 80"; "TeliaSonera AB"
"5567634497"; "073-333 78 47"; "TeliaSonera AB"
"5567634497"; "073-333 66 02"; "TeliaSonera AB"
"5564526936"; "070-713 35 50"; "Tele2 Sverige AB"
"5564526936"; "046-12 48 40"; "Tele2 Sverige AB"
"5564526936"; "046-13 35 50"; "Telia Sverige AB"
"5567067375"; "073-610 02 56"; "Telenor Sverige AB"
"5567067375"; "070-497 92 69"; "Telenor Sverige AB"
"5563312957"; "070-517 79 70"; "Telia Sverige AB"
"5563312957"; "08-739 25 85"; "Telia Sverige AB"
"5591138333"; "073-744 05 59"; "Telenor Sverige AB"
"5568469166"; "073-528 11 12"; "HI3G Access AB"
"5568469166"; "0176-177 50"; "Telia Sverige AB"
"5590876966"; "070-251 67 81"; "Qall Telecom AB"
"5569480782"; "073-241 10 97"; "Tele2 Sverige AB"
"5562624477"; "070-212 80 63"; "Telia Sverige AB"
"5562624477"; "070-568 84 12"; "Telia Sverige AB"
"5568430986"; "0241-514 34"; "Telia Sverige AB"
"5566924766"; "073-812 97 50"; "Telia Sverige AB"
"5566924766"; "0912-100 07"; "Telia Sverige AB"
"5568461510"; "0304-311 59"; "Weblink IP Phone AB"
"5569628190"; "073-995 13 40"; "Telenor Sverige AB"
"5590703277"; "08-408 116 51"; "ComHem AB"
"5590703277"; "070-918 72 05"; "HI3G Access AB"
"5591726533"; "070-998 55 00"; "HI3G Access AB"
"5568424450"; "070-721 77 15"; "HI3G Access AB"
"5568424450"; "076-035 06 85"; "HI3G Access AB"
"5568424450"; "08-591 233 59"; "Com Hem AB"
"5563117646"; "070-342 56 44"; "TeliaSonera AB"
"5563117646"; "070-749 15 85"; "TeliaSonera AB"
"5590265806"; "0793413149"; "TeliaSonera AB"
"5564913266"; "070-517 35 85"; "Telia Sverige AB"
"5564913266"; "070-517 35 85"; "Telia Sverige AB"
"5566323530"; "08-756 25 50"; "Telia Sverige AB"
"5566323530"; "010-585 12 99"; "Advoco Software AB"
"5566323530"; "070-717 59 00"; "Tell it to Mi AB"
"5591394548"; "073-619 77 06"; "HI3G Access AB"
"5566986419"; "070-957 15 00"; "Telenor Sverige AB"
"5566986419"; "018-470 15 00"; "Telenor Sverige AB"
"5566986419"; "070-957 15 00"; "Telenor Sverige AB"
"5566986419"; "018-470 15 00"; "Telenor Sverige AB"
"5566986419"; "018-470 15 00"; "Telenor Sverige AB"
"5566986419"; "010-207 15 00"; "Telenor Sverige AB"
